"","ID","year","Midterm","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","R_majorvote_pct_lag","D_majorvote_pct_lag","president_party","Pres_D","Pres_R","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party","H_inc_D","H_inc_R","US_Unemployment.Rate","US_CPI","GDP_Growth_Pct","...1","STATENAME","DISTRICT","avg_rating","Close_E_D","LLS_R","LLS_D","St_AVG_R","cvap","RepVotes","DemVotes","RepVotesMajorPercent","DemVotesMajorPercent","Incumbent_R","Incumbent_D","Open_seat","voterTR","D_2012","D_2014","D_2016","D_2018","D_2020","MidtermE_D","PresE_D","st_cd_fips","est_cost_sum"
"11",11,1968,0,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,49.14,50.86,"R",0,1,TRUE,50.92,"D",1,0,10.675,34.79,4.9156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,1970,1,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,49.08,50.92,"R",0,1,TRUE,54.22,"D",1,0,14.95,38.84,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,1972,0,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,45.78,54.22,"R",0,1,TRUE,52.82,"D",1,0,16.8,41.81,5.2589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,1974,1,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,47.18,52.82,"R",0,1,TRUE,58.57,"D",1,0,16.925,49.32,-0.5405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,1976,0,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,41.43,58.57,"D",1,0,TRUE,57.19,"D",1,0,23.1,56.93,5.3881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,1978,1,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,42.81,57.19,"D",1,0,TRUE,54.31,"D",1,0,18.2,65.24,5.5353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,1980,0,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,45.69,54.31,"R",0,1,TRUE,51.28,"D",1,0,21.525,82.38,-0.2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,1982,1,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,48.72,51.28,"R",0,1,TRUE,56.15,"D",1,0,29.125,96.53,-1.8029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,1984,0,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,43.85,56.15,"R",0,1,TRUE,52.72,"D",1,0,22.525,103.93,7.2366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,1986,1,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,47.28,52.72,"R",0,1,TRUE,55.19,"D",1,0,21,109.69,3.4626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,1988,0,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,44.81,55.19,"R",0,1,TRUE,54,"D",1,0,16.475,118.28,4.1771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,1990,1,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,46,54,"R",0,1,TRUE,54.09,"D",1,0,16.85,130.66,1.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,1992,0,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,45.91,54.09,"D",1,0,TRUE,52.86,"D",1,0,22.475,140.31,3.5224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,1994,1,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,47.14,52.86,"D",1,0,FALSE,46.41,"D",1,0,18.3,148.23,4.0288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,1996,0,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,53.59,46.41,"D",1,0,FALSE,49.84,"R",0,1,16.225,156.86,3.7725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,1998,1,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,49.84,50.16,"D",1,0,FALSE,49.39,"D",1,0,13.5,163.01,4.4814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,2000,0,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,50.61,49.39,"R",0,1,TRUE,50.23,"R",0,1,11.9,172.19,4.1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,2002,1,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,50.23,49.77,"R",0,1,TRUE,52.55,"R",0,1,17.35,179.87,1.7417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,2004,0,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,52.55,47.45,"R",0,1,TRUE,51.37,"R",0,1,16.625,188.91,3.7989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,2006,1,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,51.37,48.63,"R",0,1,FALSE,45.91,"R",0,1,13.825,201.56,2.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,2008,0,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,45.91,54.09,"D",1,0,TRUE,55.56,"D",1,0,17.4,215.25,-0.1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,2010,1,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,44.44,55.56,"D",1,0,FALSE,46.53,"D",1,0,28.825,218.08,2.5638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,1,"Arizona",1,4.1428571,0,0,1,0.1429,549353,113594,122774,48.06,51.94,0,0,1,0.430266149,1,0,0,0,0,0,1,401,9017940
"34",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,2,"Arizona",2,3.1428571,0,0,1,0.8571,539385,144884,147338,49.58,50.42,0,1,0,0.541768866,1,0,0,0,0,0,1,402,2792690
"35",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,3,"Arizona",9,3.3571429,0,0,1,0.6429,544288,111630,121881,47.81,52.19,0,0,1,0.429021033,1,0,0,0,0,0,1,409,7528820
"36",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,4,"Arkansas",1,6.8571429,0,1,0,2.8571,546407,138800,96601,58.96,41.04,1,0,0,0.430816223,1,0,0,0,0,0,1,501,417270
"37",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,5,"Arkansas",4,6.7142857,0,1,0,2.7143,535460,154149,95013,61.87,38.13,0,0,1,0.465323273,1,0,0,0,0,0,1,504,1220330
"38",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,6,"California",3,1.9285714,1,0,0,2.0714,497300,107086,126882,45.77,54.23,0,1,0,0.470476573,1,0,0,0,0,0,1,603,764420
"39",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,7,"California",7,3.8571429,0,0,1,0.1429,526910,132050,141241,48.32,51.68,1,0,0,0.518667325,1,0,0,0,0,0,1,607,6844170
"40",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,8,"California",9,3.5,0,0,1,0.5,472835,94704,118373,44.45,55.55,0,1,0,0.450637114,1,0,0,0,0,0,1,609,4246770
"41",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,9,"California",10,4.3571429,0,0,1,0.3571,467771,110265,98934,52.71,47.29,1,0,0,0.447225245,1,0,0,0,0,0,1,610,6826270
"42",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,10,"California",16,1.3571429,1,0,0,2.6429,402445,62801,84649,42.59,57.41,0,1,0,0.366385469,1,0,0,0,0,0,1,616,681960
"43",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,11,"California",21,6.0714286,0,1,0,2.0714,350034,67164,49119,57.76,42.24,0,0,1,0.332204872,1,0,0,0,0,0,1,621,1485770
"44",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,12,"California",24,3.5,0,0,1,0.5,505763,127746,156749,44.9,55.1,0,1,0,0.56250655,1,0,0,0,0,0,1,624,3233980
"45",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,13,"California",26,3.6428571,0,0,1,0.3571,468926,124863,139072,47.31,52.69,0,0,1,0.562850002,1,0,0,0,0,0,1,626,296350
"46",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,14,"California",36,4.3571429,0,0,1,0.3571,488389,97953,110189,47.06,52.94,1,0,0,0.42618077,1,0,0,0,0,0,1,636,2996850
"47",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,15,"California",41,3.0714286,0,0,1,0.9286,456205,72074,103578,41.03,58.97,0,0,1,0.38502866,1,0,0,0,0,0,1,NA,NA
"48",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,16,"California",47,1.8928571,1,0,0,2.1071,475459,99919,130093,43.44,56.56,0,0,1,0.483768317,1,0,0,0,0,0,1,NA,NA
"49",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,17,"California",52,3.8571429,0,0,1,0.1429,547077,144459,151451,48.82,51.18,1,0,0,0.540892781,1,0,0,0,0,0,1,652,11777350
"50",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,18,"Colorado",3,5.25,0,1,0,1.25,551793,185291,142920,56.45,43.55,1,0,0,0.594808198,1,0,0,0,0,0,1,803,3134970
"51",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,19,"Colorado",6,4.3571429,0,0,1,0.3571,538733,163938,156937,51.09,48.91,1,0,0,0.595610442,1,0,0,0,0,0,1,806,8893360
"52",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,20,"Colorado",7,2.0714286,1,0,0,1.9286,555150,139066,182460,43.25,56.75,0,1,0,0.579169594,1,0,0,0,0,0,1,807,7088060
"53",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,21,"Connecticut",4,1.1428571,1,0,0,2.8571,484035,117503,175929,40.04,59.96,0,1,0,0.606220625,1,0,0,0,0,0,1,NA,NA
"54",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,22,"Connecticut",5,3.5714286,0,0,1,0.4286,515878,138637,146098,48.69,51.31,0,0,1,0.551942514,1,0,0,0,0,0,1,905,8443280
"55",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,23,"Florida",2,5.3928571,0,1,0,1.3929,559346,175856,157634,52.73,47.27,1,0,0,0.59621415,1,0,0,0,0,0,1,1202,3342060
"56",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,24,"Florida",9,1.6428571,1,0,0,2.3571,575460,98856,164891,37.48,62.52,0,0,1,0.458323776,1,0,0,0,0,0,1,1209,1155880
"57",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,25,"Florida",10,5,0,1,0,1,527540,164649,153574,51.74,48.26,1,0,0,0.603220609,1,0,0,0,0,0,1,1210,4583610
"58",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,26,"Florida",13,6.5714286,0,1,0,2.5714,567936,189605,139742,57.57,42.43,1,0,0,0.579901609,1,0,0,0,0,0,1,1213,296600
"59",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,27,"Florida",16,5.9642857,0,1,0,1.9643,597649,187147,161929,53.61,46.39,1,0,0,0.584081961,1,0,0,0,0,0,1,1216,1314970
"60",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,28,"Florida",18,4.2857143,0,0,1,0.2857,570702,164353,166257,49.71,50.29,1,0,0,0.579304085,1,0,0,0,0,0,1,1218,10422740
"61",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,29,"Florida",22,2.6071429,1,0,0,1.3929,526187,142050,171021,45.37,54.63,0,0,1,0.594980492,1,0,0,0,0,0,1,1222,2432820
"62",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,30,"Florida",26,2.9285714,1,0,0,1.0714,467186,108820,135694,44.5,55.5,1,0,0,0.523376129,1,0,0,0,0,0,1,1226,157820
"63",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,31,"Georgia",12,3.8571429,0,0,1,0.1429,531858,119973,139148,46.3,53.7,0,1,0,0.487199591,1,0,0,0,0,0,1,1312,10985660
"64",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,32,"Illinois",8,2.3214286,1,0,0,1.6786,448181,101860,123206,45.26,54.74,1,0,0,0.502176576,1,0,0,0,0,0,1,1708,12827090
"65",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,33,"Illinois",10,3.9285714,0,0,1,0.0714,462773,130564,133890,49.37,50.63,1,0,0,0.571455119,1,0,0,0,0,0,1,1710,15097850
"66",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,34,"Illinois",11,3.3571429,0,0,1,0.6429,467647,105348,148928,41.43,58.57,1,0,0,0.543734911,1,0,0,0,0,0,1,1711,13699150
"67",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,35,"Illinois",12,3.8571429,0,0,1,0.1429,533604,129902,157000,45.28,54.72,0,0,1,0.537668383,1,0,0,0,0,0,1,1712,6496540
"68",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,36,"Illinois",13,4.0714286,0,0,1,0.0714,540956,137034,136032,50.18,49.82,0,0,1,0.504784123,1,0,0,0,0,0,1,1713,5456500
"69",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,37,"Illinois",17,3.5,0,0,1,0.5,514978,134623,153519,46.72,53.28,1,0,0,0.559522931,1,0,0,0,0,0,1,1717,7031000
"70",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,38,"Indiana",2,5.2857143,0,1,0,1.2857,521068,134033,130113,50.74,49.26,0,0,1,0.506931917,1,0,0,0,0,0,1,1802,2562190
"71",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,39,"Indiana",8,5.6785714,0,1,0,1.6786,549703,151533,122325,55.33,44.67,1,0,0,0.49819266,1,0,0,0,0,0,1,1808,2052370
"72",33,2012,0,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,53.47,46.53,"D",1,0,FALSE,49.39,"R",0,1,24.225,229.59,2.2495,40,"Iowa",1,1.5714286,1,0,0,2.4286,579428,162465,222422,42.21,57.79,0,1,0,0.664253367,1,0,0,0,0,0,1,1901,1824040
