ID,STATENAME,DISTRICT,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
56,California,35,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
57,California,36,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
58,California,37,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
59,California,38,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
60,California,39,Toss up,4,Toss up,4,Lean Republican,5,4.333333333
61,California,40,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
62,California,41,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
63,California,42,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
64,California,43,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
65,California,44,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
66,California,45,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
67,California,46,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
68,California,47,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
69,California,48,Toss up,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
70,California,49,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
71,California,50,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
72,California,51,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
73,California,52,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
74,California,53,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
75,Colorado,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
76,Colorado,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
77,Colorado,3,Likely Republican,6,Solid Republican,7,Lean Republican,5,6
78,Colorado,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
79,Colorado,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
80,Colorado,6,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
81,Colorado,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
82,Connecticut,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
83,Connecticut,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
84,Connecticut,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
85,Connecticut,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
86,Connecticut,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
87,Delaware,0,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
88,Florida,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
89,Florida,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
90,Florida,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
91,Florida,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
92,Florida,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
93,Florida,6,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
94,Florida,7,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
95,Florida,8,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
96,Florida,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
97,Florida,10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
98,Florida,11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
99,Florida,12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
100,Florida,13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
101,Florida,14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
102,Florida,15,Toss up,4,Tilt Republican,4.5,Lean Republican,5,4.5
103,Florida,16,Lean Republican,5,Likely Republican,6,Likely Republican,6,5.666666667
104,Florida,17,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
105,Florida,18,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
106,Florida,19,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
107,Florida,20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
108,Florida,21,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
109,Florida,22,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
110,Florida,23,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
111,Florida,24,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
112,Florida,25,Lean Republican,5,Solid Republican,7,Likely Republican,6,6
113,Florida,26,Toss up,4,Toss up,4,Lean Republican,5,4.333333333
114,Florida,27,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
115,Georgia,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
116,Georgia,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
117,Georgia,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
118,Georgia,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
119,Georgia,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
120,Georgia,6,Toss up,4,Lean Republican,5,Lean Republican,5,4.666666667
121,Georgia,7,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
122,Georgia,8,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
123,Georgia,9,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
124,Georgia,10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
125,Georgia,11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
126,Georgia,12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
127,Georgia,13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
128,Georgia,14,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
129,Hawaii,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
130,Hawaii,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
131,Iowa,1,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
132,Iowa,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
133,Iowa,3,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
134,Iowa,4,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
135,Idaho,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
136,Idaho,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
137,Illinois,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
138,Illinois,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
139,Illinois,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
140,Illinois,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
141,Illinois,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
142,Illinois,6,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
143,Illinois,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
144,Illinois,8,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
145,Illinois,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
146,Illinois,10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
147,Illinois,11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
148,Illinois,12,Lean Republican,5,Tilt Republican,4.5,Lean Republican,5,4.833333333
149,Illinois,13,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
150,Illinois,14,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
151,Illinois,15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
152,Illinois,16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
153,Illinois,17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
154,Illinois,18,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
155,Indiana,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
156,Indiana,2,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
157,Indiana,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
158,Indiana,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
159,Indiana,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
160,Indiana,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
161,Indiana,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
162,Indiana,8,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
163,Indiana,9,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
164,Kansas,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
165,Kansas,2,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
166,Kansas,3,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
167,Kansas,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
168,Kentucky,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
169,Kentucky,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
170,Kentucky,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
171,Kentucky,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
172,Kentucky,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
173,Kentucky,6,Toss up,4,Toss up,4,Lean Republican,5,4.333333333
174,Louisiana,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
175,Louisiana,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
176,Louisiana,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
177,Louisiana,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
178,Louisiana,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
179,Louisiana,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
180,Massachusetts,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
181,Massachusetts,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
182,Massachusetts,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
183,Massachusetts,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
184,Massachusetts,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
185,Massachusetts,6,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
186,Massachusetts,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
187,Massachusetts,8,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
188,Massachusetts,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
189,Maryland,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
190,Maryland,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
191,Maryland,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
192,Maryland,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
193,Maryland,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
194,Maryland,6,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
195,Maryland,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
196,Maryland,8,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
197,Maine,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
198,Maine,2,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
199,Michigan,1,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
200,Michigan,2,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
201,Michigan,3,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
202,Michigan,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
203,Michigan,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
204,Michigan,6,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
205,Michigan,7,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
206,Michigan,8,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
207,Michigan,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
208,Michigan,10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
209,Michigan,11,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
210,Michigan,12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
211,Michigan,13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
212,Michigan,14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
213,Minnesota,1,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
214,Minnesota,2,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
215,Minnesota,3,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
216,Minnesota,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
217,Minnesota,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
218,Minnesota,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
219,Minnesota,7,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
220,Minnesota,8,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
221,Missouri,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
222,Missouri,2,Lean Republican,5,Solid Republican,7,Likely Republican,6,6
223,Missouri,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
224,Missouri,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
225,Missouri,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
226,Missouri,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
227,Missouri,7,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
228,Missouri,8,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
229,Mississippi,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
230,Mississippi,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
231,Mississippi,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
232,Mississippi,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
233,Montana,0,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
234,North Carolina,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
235,North Carolina,2,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
236,North Carolina,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
237,North Carolina,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
238,North Carolina,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
239,North Carolina,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
240,North Carolina,7,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
241,North Carolina,8,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
242,North Carolina,9,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
243,North Carolina,10,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
244,North Carolina,11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
245,North Carolina,12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
246,North Carolina,13,Toss up,4,Tilt Republican,4.5,Lean Republican,5,4.5
247,North Dakota,0,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
248,Nebraska,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
249,Nebraska,2,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
250,Nebraska,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
251,New Hampshire,1,Likely Democratic,2,Lean Democratic,3,Likely Democratic,2,2.333333333
252,New Hampshire,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
253,New Jersey,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
254,New Jersey,2,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
255,New Jersey,3,Toss up,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
256,New Jersey,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
257,New Jersey,5,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
258,New Jersey,6,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
259,New Jersey,7,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
260,New Jersey,8,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
261,New Jersey,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
262,New Jersey,10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
263,New Jersey,11,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
264,New Jersey,12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
265,New Mexico,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
266,New Mexico,2,Toss up,4,Tilt Republican,4.5,Lean Democratic,3,3.833333333
267,New Mexico,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
268,Nevada,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
269,Nevada,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
270,Nevada,3,Lean Democratic,3,Tilt Democratic,3.5,Lean Democratic,3,3.166666667
271,Nevada,4,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
272,New York,1,Likely Republican,6,Solid Republican,7,Lean Republican,5,6
273,New York,2,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
274,New York,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
275,New York,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
276,New York,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
277,New York,6,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
278,New York,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
279,New York,8,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
280,New York,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
281,New York,10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
282,New York,11,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
283,New York,12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
284,New York,13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
285,New York,14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
286,New York,15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
287,New York,16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
288,New York,17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
289,New York,18,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
290,New York,19,Toss up,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
291,New York,20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
292,New York,21,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
293,New York,22,Toss up,4,Tilt Democratic,3.5,Lean Democratic,3,3.5
294,New York,23,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
295,New York,24,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
296,New York,25,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
297,New York,26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
298,New York,27,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
299,Ohio,1,Lean Republican,5,Tilt Republican,4.5,Lean Republican,5,4.833333333
300,Ohio,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
301,Ohio,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
302,Ohio,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
303,Ohio,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
304,Ohio,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
305,Ohio,7,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
306,Ohio,8,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
307,Ohio,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
308,Ohio,10,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
309,Ohio,11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
310,Ohio,12,Toss up,4,Toss up,4,Lean Republican,5,4.333333333
311,Ohio,13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
312,Ohio,14,Likely Republican,6,Likely Republican,6,Lean Republican,5,5.666666667
313,Ohio,15,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
314,Ohio,16,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
315,Oklahoma,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
316,Oklahoma,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
317,Oklahoma,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
318,Oklahoma,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
319,Oklahoma,5,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
320,Oregon,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
321,Oregon,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
322,Oregon,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
323,Oregon,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
324,Oregon,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
325,Pennsylvania,1,Toss up,4,Toss up,4,Lean Republican,5,4.333333333
326,Pennsylvania,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
327,Pennsylvania,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
328,Pennsylvania,4,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
329,Pennsylvania,5,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
330,Pennsylvania,6,Likely Democratic,2,Likely Democratic,2,Safe Democratic,1,1.666666667
331,Pennsylvania,7,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
332,Pennsylvania,8,Likely Democratic,2,Lean Democratic,3,Likely Democratic,2,2.333333333
333,Pennsylvania,9,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
334,Pennsylvania,10,Toss up,4,Lean Republican,5,Lean Republican,5,4.666666667
335,Pennsylvania,11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
336,Pennsylvania,12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
337,Pennsylvania,13,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
338,Pennsylvania,14,Likely Republican,6,Likely Republican,6,Safe Republican,7,6.333333333
339,Pennsylvania,15,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
340,Pennsylvania,16,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
341,Pennsylvania,17,Likely Democratic,2,Lean Democratic,3,Likely Democratic,2,2.333333333
342,Pennsylvania,18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
343,Rhode Island,1,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
344,Rhode Island,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
345,South Carolina,1,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
346,South Carolina,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
